x_axis,strain_u1,strain_u2,strain_u3,strain_u4,strain_u5,strain_u6,strain_u7,strain_u8,strain_u9,strain_u10,strain_u11,strain_u12,strain_u13,strain_u14
-0.006199999999999761,273.3,681.7,1230.9,1851.0,2516.9,3163.2,3804.7,4475.6,5143.1,5822.9,6476.6,6875.2,7183.3,7765.2
-0.0055499999999995,275.7,700.0,1258.8,1904.3,2589.4,3247.0,3901.5,4593.6,5289.8,5993.0,6684.0,7098.6,7437.1,8056.1
-0.004899999999999238,285.2,724.5,1301.7,1969.9,2671.3,3335.6,4023.2,4734.4,5451.5,6194.9,6907.9,7352.8,7690.7,8310.2
-0.004249999999999865,291.2,741.5,1330.1,2010.9,2728.5,3419.6,4119.6,4846.1,5580.2,6340.4,7078.9,7537.4,7872.2,8528.6
-0.0035999999999996035,298.6,759.1,1365.1,2066.3,2808.0,3501.6,4220.9,4966.7,5722.2,6495.0,7260.5,7730.2,8074.8,8747.3
-0.002949999999999342,300.6,772.0,1389.5,2103.4,2863.9,3596.6,4329.4,5093.8,5865.1,6661.5,7437.7,7919.2,8268.6,8945.9
-0.0022999999999999687,313.4,789.7,1418.3,2151.0,2919.5,3667.7,4409.0,5184.8,5969.1,6772.6,7573.5,8058.4,8412.5,9089.7
-0.0016499999999997073,314.0,798.3,1438.4,2176.2,2960.7,3717.2,4476.1,5256.9,6057.4,6870.7,7679.1,8166.4,8523.6,9202.9
-0.0009999999999994458,312.3,801.8,1446.4,2190.8,2981.9,3750.5,4516.8,5308.5,6109.2,6931.8,7743.6,8231.8,8590.5,9269.8
-0.0003499999999991843,311.5,808.3,1452.8,2202.3,3000.5,3770.2,4539.1,5336.6,6145.5,6968.7,7793.0,8280.8,8635.5,9317.4
